Country,Year,Series,Value
Albania,2015,Life expectancy at birth for males (years),75.21
Albania,2015,Life expectancy at birth for females (years),79.96
Algeria,2005,Population annual rate of increase (percent),1.314
Algeria,2005,Total fertility rate (children per women),2.3843
Algeria,2005,"Infant mortality for both sexes (per 1,000 live births)",33.62
Algeria,2005,"Maternal mortality ratio (deaths per 100,000 population)",148.1117
Algeria,2005,Life expectancy at birth for both sexes (years),71.827
Algeria,2005,Life expectancy at birth for males (years),70.47
Algeria,2005,Life expectancy at birth for females (years),73.24
Algeria,2010,Population annual rate of increase (percent),1.637
Algeria,2010,Total fertility rate (children per women),2.724
Algeria,2010,"Infant mortality for both sexes (per 1,000 live births)",29.398
Algeria,2010,"Maternal mortality ratio (deaths per 100,000 population)",147.2922
Algeria,2010,Life expectancy at birth for both sexes (years),74.169
Algeria,2010,Life expectancy at birth for males (years),72.95
Algeria,2010,Life expectancy at birth for females (years),75.43
Algeria,2015,Population annual rate of increase (percent),1.983
Algeria,2015,Total fertility rate (children per women),2.96
Algeria,2015,"Infant mortality for both sexes (per 1,000 live births)",24.94
Algeria,2015,"Maternal mortality ratio (deaths per 100,000 population)",139.6208
Algeria,2015,Life expectancy at birth for both sexes (years),75.513
Algeria,2015,Life expectancy at birth for males (years),74.36
Algeria,2015,Life expectancy at birth for females (years),76.71
American Samoa,2005,Population annual rate of increase (percent),0.547
American Samoa,2006,Life expectancy at birth for males (years),68.5
American Samoa,2006,Life expectancy at birth for females (years),76.2
American Samoa,2010,Population annual rate of increase (percent),-1.214
American Samoa,2011,Life expectancy at birth for males (years),71.0621
American Samoa,2011,Life expectancy at birth for females (years),77.7629
American Samoa,2012,"Infant mortality for both sexes (per 1,000 live births)",9.6
American Samoa,2013,Total fertility rate (children per women),2.6
American Samoa,2015,Population annual rate of increase (percent),-0.035
Andorra,2005,Population annual rate of increase (percent),3.748
Andorra,2005,Total fertility rate (children per women),1.2312
Andorra,2010,Population annual rate of increase (percent),1.368
Andorra,2010,Total fertility rate (children per women),1.246
Andorra,2012,Total fertility rate (children per women),1.151
Andorra,2015,Population annual rate of increase (percent),-1.586
Angola,2005,Population annual rate of increase (percent),3.4
Angola,2005,Total fertility rate (children per women),6.55
Angola,2005,"Infant mortality for both sexes (per 1,000 live births)",128.76
Angola,2005,"Maternal mortality ratio (deaths per 100,000 population)",705.2795
Angola,2005,Life expectancy at birth for both sexes (years),48.05
Angola,2005,Life expectancy at birth for males (years),45.9
Angola,2005,Life expectancy at birth for females (years),50.37
Angola,2010,Population annual rate of increase (percent),3.677
Angola,2010,Total fertility rate (children per women),6.35
Angola,2010,"Infant mortality for both sexes (per 1,000 live births)",104.21
Angola,2010,"Maternal mortality ratio (deaths per 100,000 population)",561.3088
Angola,2010,Life expectancy at birth for both sexes (years),52.686
Angola,2010,Life expectancy at birth for males (years),50.29
Angola,2010,Life expectancy at birth for females (years),55.26
Angola,2015,Population annual rate of increase (percent),3.544
Angola,2015,Total fertility rate (children per women),6
Angola,2015,"Infant mortality for both sexes (per 1,000 live births)",78.247
Angola,2015,"Maternal mortality ratio (deaths per 100,000 population)",476.9781
Angola,2015,Life expectancy at birth for both sexes (years),57.74
Angola,2015,Life expectancy at birth for males (years),55.15
Angola,2015,Life expectancy at birth for females (years),60.51
Anguilla,2004,Total fertility rate (children per women),2.91
Anguilla,2004,Life expectancy at birth for both sexes (years),78.88
Anguilla,2004,Life expectancy at birth for males (years),76.52
Anguilla,2004,Life expectancy at birth for females (years),81.11
Anguilla,2005,Population annual rate of increase (percent),2.646
Anguilla,2005,Total fertility rate (children per women),1.84
Anguilla,2006,Total fertility rate (children per women),2
Anguilla,2010,Population annual rate of increase (percent),1.714
Anguilla,2015,Population annual rate of increase (percent),1.193
Antigua and Barbuda,2005,Population annual rate of increase (percent),1.386
Antigua and Barbuda,2005,Total fertility rate (children per women),2.16
Antigua and Barbuda,2005,"Infant mortality for both sexes (per 1,000 live births)",11.476
Antigua and Barbuda,2005,Life expectancy at birth for both sexes (years),74.5
Antigua and Barbuda,2005,Life expectancy at birth for males (years),73.02
Antigua and Barbuda,2005,Life expectancy at birth for females (years),75.86
Antigua and Barbuda,2010,Population annual rate of increase (percent),1.55
Antigua and Barbuda,2010,Total fertility rate (children per women),2
Antigua and Barbuda,2010,"Infant mortality for both sexes (per 1,000 live births)",8.95
Antigua and Barbuda,2010,Life expectancy at birth for both sexes (years),75.463
Antigua and Barbuda,2010,Life expectancy at birth for males (years),74.06
Antigua and Barbuda,2010,Life expectancy at birth for females (years),76.76
Antigua and Barbuda,2015,Population annual rate of increase (percent),1.22
Antigua and Barbuda,2015,Total fertility rate (children per women),2
Antigua and Barbuda,2015,"Infant mortality for both sexes (per 1,000 live births)",6.794
Antigua and Barbuda,2015,Life expectancy at birth for both sexes (years),76.138
Antigua and Barbuda,2015,Life expectancy at birth for males (years),74.79
Antigua and Barbuda,2015,Life expectancy at birth for females (years),77.42
Argentina,2005,Population annual rate of increase (percent),1.068
Argentina,2005,Total fertility rate (children per women),2.48
Argentina,2005,"Infant mortality for both sexes (per 1,000 live births)",16.749
Argentina,2005,"Maternal mortality ratio (deaths per 100,000 population)",58.402
Argentina,2005,Life expectancy at birth for both sexes (years),74.018
Argentina,2005,Life expectancy at birth for males (years),70.57
Argentina,2005,Life expectancy at birth for females (years),77.41
Argentina,2010,Population annual rate of increase (percent),1.004
Argentina,2010,Total fertility rate (children per women),2.37
Argentina,2010,"Infant mortality for both sexes (per 1,000 live births)",14.211
Argentina,2010,"Maternal mortality ratio (deaths per 100,000 population)",57.8036
Argentina,2010,Life expectancy at birth for both sexes (years),74.868
Argentina,2010,Life expectancy at birth for males (years),71.43
Argentina,2010,Life expectancy at birth for females (years),78.24
Argentina,2015,Population annual rate of increase (percent),1.039
Argentina,2015,Total fertility rate (children per women),2.33
Argentina,2015,"Infant mortality for both sexes (per 1,000 live births)",12.056
Argentina,2015,"Maternal mortality ratio (deaths per 100,000 population)",52.3877
Argentina,2015,Life expectancy at birth for both sexes (years),75.675
Argentina,2015,Life expectancy at birth for males (years),72.23
Argentina,2015,Life expectancy at birth for females (years),79.04
Armenia,2005,Population annual rate of increase (percent),-0.584
Armenia,2005,Total fertility rate (children per women),1.65
Armenia,2005,"Infant mortality for both sexes (per 1,000 live births)",27.054
Armenia,2005,"Maternal mortality ratio (deaths per 100,000 population)",39.697
Armenia,2005,Life expectancy at birth for both sexes (years),72.369
Armenia,2005,Life expectancy at birth for males (years),69.1
Armenia,2005,Life expectancy at birth for females (years),75.33
Armenia,2010,Population annual rate of increase (percent),-0.71
Armenia,2010,Total fertility rate (children per women),1.72
Armenia,2010,"Infant mortality for both sexes (per 1,000 live births)",20.988
Armenia,2010,"Maternal mortality ratio (deaths per 100,000 population)",33.3368
Armenia,2010,Life expectancy at birth for both sexes (years),72.739
Armenia,2010,Life expectancy at birth for males (years),69.36
Armenia,2010,Life expectancy at birth for females (years),75.84
Armenia,2015,Population annual rate of increase (percent),0.333
Armenia,2015,Total fertility rate (children per women),1.7202
Armenia,2015,"Infant mortality for both sexes (per 1,000 live births)",13.229
Armenia,2015,"Maternal mortality ratio (deaths per 100,000 population)",25.3261
Armenia,2015,Life expectancy at birth for both sexes (years),73.988
Armenia,2015,Life expectancy at birth for males (years),70.64
Armenia,2015,Life expectancy at birth for females (years),77.03
Aruba,2005,Population annual rate of increase (percent),1.923
Aruba,2005,Total fertility rate (children per women),1.8162
Aruba,2005,"Infant mortality for both sexes (per 1,000 live births)",17.774
Aruba,2005,Life expectancy at birth for both sexes (years),73.971
Aruba,2005,Life expectancy at birth for males (years),71.51
Aruba,2005,Life expectancy at birth for females (years),76.39
Aruba,2010,Population annual rate of increase (percent),0.324
Aruba,2010,Total fertility rate (children per women),1.76
Aruba,2010,"Infant mortality for both sexes (per 1,000 live births)",16.179
Aruba,2010,Life expectancy at birth for both sexes (years),74.669
Aruba,2010,Life expectancy at birth for males (years),72.18
Aruba,2010,Life expectancy at birth for females (years),77.09
Aruba,2015,Population annual rate of increase (percent),0.52
Aruba,2015,Total fertility rate (children per women),1.8
Aruba,2015,"Infant mortality for both sexes (per 1,000 live births)",14.784
Aruba,2015,Life expectancy at birth for both sexes (years),75.369
Aruba,2015,Life expectancy at birth for males (years),72.86
Aruba,2015,Life expectancy at birth for females (years),77.76
Australia,2005,Population annual rate of increase (percent),1.213
Australia,2005,Total fertility rate (children per women),1.7739
Australia,2005,"Infant mortality for both sexes (per 1,000 live births)",4.941
Australia,2005,"Maternal mortality ratio (deaths per 100,000 population)",6.9282
Australia,2005,Life expectancy at birth for both sexes (years),80.336
Australia,2005,Life expectancy at birth for males (years),77.81
Australia,2005,Life expectancy at birth for females (years),82.84
Australia,2010,Population annual rate of increase (percent),1.869
Australia,2010,Total fertility rate (children per women),1.9525
Australia,2010,"Infant mortality for both sexes (per 1,000 live births)",4.406
Australia,2010,"Maternal mortality ratio (deaths per 100,000 population)",6.472
Australia,2010,Life expectancy at birth for both sexes (years),81.476
Australia,2010,Life expectancy at birth for males (years),79.19
Australia,2010,Life expectancy at birth for females (years),83.77
Australia,2015,Population annual rate of increase (percent),1.544
Australia,2015,Total fertility rate (children per women),1.885
Australia,2015,"Infant mortality for both sexes (per 1,000 live births)",3.627
Australia,2015,"Maternal mortality ratio (deaths per 100,000 population)",5.9488
Australia,2015,Life expectancy at birth for both sexes (years),82.363
Australia,2015,Life expectancy at birth for males (years),80.28
Australia,2015,Life expectancy at birth for females (years),84.45
Austria,2005,Population annual rate of increase (percent),0.452
Austria,2005,Total fertility rate (children per women),1.3796
Austria,2005,"Infant mortality for both sexes (per 1,000 live births)",4.473
Austria,2005,"Maternal mortality ratio (deaths per 100,000 population)",4.5033
Austria,2005,Life expectancy at birth for both sexes (years),78.92
Austria,2005,Life expectancy at birth for males (years),75.9
Austria,2005,Life expectancy at birth for females (years),81.7
Austria,2010,Population annual rate of increase (percent),0.375
Austria,2010,Total fertility rate (children per women),1.3993
Austria,2010,"Infant mortality for both sexes (per 1,000 live births)",3.764
Austria,2010,"Maternal mortality ratio (deaths per 100,000 population)",4.019
Austria,2010,Life expectancy at birth for both sexes (years),80.13
Austria,2010,Life expectancy at birth for males (years),77.3
Austria,2010,Life expectancy at birth for females (years),82.79
Austria,2015,Population annual rate of increase (percent),0.629
Austria,2015,Total fertility rate (children per women),1.4488
Austria,2015,"Infant mortality for both sexes (per 1,000 live births)",3.33
Austria,2015,"Maternal mortality ratio (deaths per 100,000 population)",3.8028
Austria,2015,Life expectancy at birth for both sexes (years),80.986
Austria,2015,Life expectancy at birth for males (years),78.37
Austria,2015,Life expectancy at birth for females (years),83.48
Azerbaijan,2005,Population annual rate of increase (percent),0.999
Azerbaijan,2005,Total fertility rate (children per women),1.9
Azerbaijan,2005,"Infant mortality for both sexes (per 1,000 live births)",54.172
Azerbaijan,2005,"Maternal mortality ratio (deaths per 100,000 population)",34.3875
Azerbaijan,2005,Life expectancy at birth for both sexes (years),67.438
Azerbaijan,2005,Life expectancy at birth for males (years),64.57
Azerbaijan,2005,Life expectancy at birth for females (years),70.28
Azerbaijan,2010,Population annual rate of increase (percent),1.125
Azerbaijan,2010,Total fertility rate (children per women),1.83
Azerbaijan,2010,"Infant mortality for both sexes (per 1,000 live births)",40.701
Azerbaijan,2010,"Maternal mortality ratio (deaths per 100,000 population)",27.1828
Azerbaijan,2010,Life expectancy at birth for both sexes (years),70.095
Azerbaijan,2010,Life expectancy at birth for males (years),66.87
Azerbaijan,2010,Life expectancy at birth for females (years),73.35
Azerbaijan,2015,Population annual rate of increase (percent),1.266
Azerbaijan,2015,Total fertility rate (children per women),2.09
Azerbaijan,2015,"Infant mortality for both sexes (per 1,000 live births)",31.389
Azerbaijan,2015,"Maternal mortality ratio (deaths per 100,000 population)",25.0686
Azerbaijan,2015,Life expectancy at birth for both sexes (years),71.568
Azerbaijan,2015,Life expectancy at birth for males (years),68.58
Azerbaijan,2015,Life expectancy at birth for females (years),74.55
Bahamas,2005,Population annual rate of increase (percent),1.722
Bahamas,2005,Total fertility rate (children per women),1.87
Bahamas,2005,"Infant mortality for both sexes (per 1,000 live births)",13.052
Bahamas,2005,"Maternal mortality ratio (deaths per 100,000 population)",74.3883
Bahamas,2005,Life expectancy at birth for both sexes (years),71.995
Bahamas,2005,Life expectancy at birth for males (years),68.95
Bahamas,2005,Life expectancy at birth for females (years),74.97
Bahamas,2010,Population annual rate of increase (percent),1.771
Bahamas,2010,Total fertility rate (children per women),1.91
Bahamas,2010,"Infant mortality for both sexes (per 1,000 live births)",11.28
Bahamas,2010,"Maternal mortality ratio (deaths per 100,000 population)",85.2706
Bahamas,2010,Life expectancy at birth for both sexes (years),72.008
Bahamas,2010,Life expectancy at birth for males (years),69.31
Bahamas,2010,Life expectancy at birth for females (years),74.65
Bahamas,2015,Population annual rate of increase (percent),1.057
Bahamas,2015,Total fertility rate (children per women),1.81
Bahamas,2015,"Infant mortality for both sexes (per 1,000 live births)",8.022
Bahamas,2015,"Maternal mortality ratio (deaths per 100,000 population)",80.0141
Bahamas,2015,Life expectancy at birth for both sexes (years),72.466
Bahamas,2015,Life expectancy at birth for males (years),70.08
Bahamas,2015,Life expectancy at birth for females (years),74.79
Bahrain,2005,Population annual rate of increase (percent),5.822
Bahrain,2005,Total fertility rate (children per women),2.65
Bahrain,2005,"Infant mortality for both sexes (per 1,000 live births)",9.758
Bahrain,2005,"Maternal mortality ratio (deaths per 100,000 population)",19.9219
Bahrain,2005,Life expectancy at birth for both sexes (years),74.92
Bahrain,2005,Life expectancy at birth for males (years),74.18
Bahrain,2005,Life expectancy at birth for females (years),75.85
Bahrain,2010,Population annual rate of increase (percent),6.666
Bahrain,2010,Total fertility rate (children per women),2.25
Bahrain,2010,"Infant mortality for both sexes (per 1,000 live births)",7.949
Bahrain,2010,"Maternal mortality ratio (deaths per 100,000 population)",16.268
Bahrain,2010,Life expectancy at birth for both sexes (years),75.689
Bahrain,2010,Life expectancy at birth for males (years),74.91
Bahrain,2010,Life expectancy at birth for females (years),76.7
Bahrain,2015,Population annual rate of increase (percent),2.007
Bahrain,2015,Total fertility rate (children per women),2.12
Bahrain,2015,"Infant mortality for both sexes (per 1,000 live births)",6.908
Bahrain,2015,"Maternal mortality ratio (deaths per 100,000 population)",15.1812
Bahrain,2015,Life expectancy at birth for both sexes (years),76.41
Bahrain,2015,Life expectancy at birth for males (years),75.61
Bahrain,2015,Life expectancy at birth for females (years),77.46
Bangladesh,2005,Population annual rate of increase (percent),1.708
Bangladesh,2005,Total fertility rate (children per women),2.9356
Bangladesh,2005,"Infant mortality for both sexes (per 1,000 live births)",55.476
Bangladesh,2005,"Maternal mortality ratio (deaths per 100,000 population)",318.5664
Bangladesh,2005,Life expectancy at birth for both sexes (years),66.601
Bangladesh,2005,Life expectancy at birth for males (years),65.95
Bangladesh,2005,Life expectancy at birth for females (years),67.34
Bangladesh,2010,Population annual rate of increase (percent),1.192
Bangladesh,2010,Total fertility rate (children per women),2.4821
Bangladesh,2010,"Infant mortality for both sexes (per 1,000 live births)",43.315
Bangladesh,2010,"Maternal mortality ratio (deaths per 100,000 population)",242.4396
Bangladesh,2010,Life expectancy at birth for both sexes (years),68.834
Bangladesh,2010,Life expectancy at birth for males (years),67.83
Bangladesh,2010,Life expectancy at birth for females (years),69.99
Bangladesh,2015,Population annual rate of increase (percent),1.143
Bangladesh,2015,Total fertility rate (children per women),2.2115
Bangladesh,2015,"Infant mortality for both sexes (per 1,000 live births)",33.154
Bangladesh,2015,"Maternal mortality ratio (deaths per 100,000 population)",176.1376
Bangladesh,2015,Life expectancy at birth for both sexes (years),70.792
Bangladesh,2015,Life expectancy at birth for males (years),69.43
Bangladesh,2015,Life expectancy at birth for females (years),72.38
Barbados,2005,Population annual rate of increase (percent),0.352
Barbados,2005,Total fertility rate (children per women),1.8
Barbados,2005,"Infant mortality for both sexes (per 1,000 live births)",12.959
Barbados,2005,"Maternal mortality ratio (deaths per 100,000 population)",39.5225
Barbados,2005,Life expectancy at birth for both sexes (years),77.627
Barbados,2005,Life expectancy at birth for males (years),75.87
Barbados,2005,Life expectancy at birth for females (years),79.28
Barbados,2010,Population annual rate of increase (percent),0.416
Barbados,2010,Total fertility rate (children per women),1.75
Barbados,2010,"Infant mortality for both sexes (per 1,000 live births)",12.577
Barbados,2010,"Maternal mortality ratio (deaths per 100,000 population)",32.7648
Barbados,2010,Life expectancy at birth for both sexes (years),78.112
Barbados,2010,Life expectancy at birth for males (years),76.48
Barbados,2010,Life expectancy at birth for females (years),79.65
Barbados,2015,Population annual rate of increase (percent),0.225
Barbados,2015,Total fertility rate (children per women),1.63
Barbados,2015,"Infant mortality for both sexes (per 1,000 live births)",11.464
Barbados,2015,"Maternal mortality ratio (deaths per 100,000 population)",27.1644
Barbados,2015,Life expectancy at birth for both sexes (years),78.603
Barbados,2015,Life expectancy at birth for males (years),77.12
Barbados,2015,Life expectancy at birth for females (years),79.98
Belarus,2005,Population annual rate of increase (percent),-0.637
Belarus,2005,Total fertility rate (children per women),1.2551
Belarus,2005,"Infant mortality for both sexes (per 1,000 live births)",9.587
Belarus,2005,"Maternal mortality ratio (deaths per 100,000 population)",13.0184
Belarus,2005,Life expectancy at birth for both sexes (years),67.832
Belarus,2005,Life expectancy at birth for males (years),62.32
Belarus,2005,Life expectancy at birth for females (years),73.65
Belarus,2010,Population annual rate of increase (percent),-0.298
Belarus,2010,Total fertility rate (children per women),1.4423
Belarus,2010,"Infant mortality for both sexes (per 1,000 live births)",6.268
Belarus,2010,"Maternal mortality ratio (deaths per 100,000 population)",5.1647
Belarus,2010,Life expectancy at birth for both sexes (years),69.259
Belarus,2010,Life expectancy at birth for males (years),63.56
Belarus,2010,Life expectancy at birth for females (years),75.19
Belarus,2015,Population annual rate of increase (percent),0.04
Belarus,2015,Total fertility rate (children per women),1.6489
Belarus,2015,"Infant mortality for both sexes (per 1,000 live births)",3.43
Belarus,2015,"Maternal mortality ratio (deaths per 100,000 population)",4.2593
Belarus,2015,Life expectancy at birth for both sexes (years),72.446
Belarus,2015,Life expectancy at birth for males (years),66.84
Belarus,2015,Life expectancy at birth for females (years),77.95
Belgium,2005,Population annual rate of increase (percent),0.509
Belgium,2005,Total fertility rate (children per women),1.6836
Belgium,2005,"Infant mortality for both sexes (per 1,000 live births)",4.221
Belgium,2005,"Maternal mortality ratio (deaths per 100,000 population)",7.6134
Belgium,2005,Life expectancy at birth for both sexes (years),78.375
Belgium,2005,Life expectancy at birth for males (years),75.34
Belgium,2005,Life expectancy at birth for females (years),81.36
Belgium,2010,Population annual rate of increase (percent),0.73
Belgium,2010,Total fertility rate (children per women),1.821
Belgium,2010,"Infant mortality for both sexes (per 1,000 live births)",3.826
Belgium,2010,"Maternal mortality ratio (deaths per 100,000 population)",7.6233
Belgium,2010,Life expectancy at birth for both sexes (years),79.57
Belgium,2010,Life expectancy at birth for males (years),76.79
Belgium,2010,Life expectancy at birth for females (years),82.27
Belgium,2015,Population annual rate of increase (percent),0.628
Belgium,2015,Total fertility rate (children per women),1.7807
Belgium,2015,"Infant mortality for both sexes (per 1,000 live births)",3.456
Belgium,2015,"Maternal mortality ratio (deaths per 100,000 population)",6.9711
Belgium,2015,Life expectancy at birth for both sexes (years),80.524
Belgium,2015,Life expectancy at birth for males (years),77.97
Belgium,2015,Life expectancy at birth for females (years),83
Belize,2005,Population annual rate of increase (percent),2.752
Belize,2005,Total fertility rate (children per women),3.35
Belize,2005,"Infant mortality for both sexes (per 1,000 live births)",20.154
Belize,2005,"Maternal mortality ratio (deaths per 100,000 population)",51.6498
Belize,2005,Life expectancy at birth for both sexes (years),69.58
Belize,2005,Life expectancy at birth for males (years),66.94
Belize,2005,Life expectancy at birth for females (years),72.49
Belize,2010,Population annual rate of increase (percent),2.555
Belize,2010,Total fertility rate (children per women),2.84
Belize,2010,"Infant mortality for both sexes (per 1,000 live births)",17.296
Belize,2010,"Maternal mortality ratio (deaths per 100,000 population)",37.3923
Belize,2010,Life expectancy at birth for both sexes (years),70.689
Belize,2010,Life expectancy at birth for males (years),68
Belize,2010,Life expectancy at birth for females (years),73.6
Belize,2015,Population annual rate of increase (percent),2.254
Belize,2015,Total fertility rate (children per women),2.58
Belize,2015,"Infant mortality for both sexes (per 1,000 live births)",14.981
Belize,2015,"Maternal mortality ratio (deaths per 100,000 population)",27.7005
Belize,2015,Life expectancy at birth for both sexes (years),73.403
Belize,2015,Life expectancy at birth for males (years),71.08
Belize,2015,Life expectancy at birth for females (years),75.96
Benin,2005,Population annual rate of increase (percent),3.013
Benin,2005,Total fertility rate (children per women),5.7841
Benin,2005,"Infant mortality for both sexes (per 1,000 live births)",84.027
Benin,2005,"Maternal mortality ratio (deaths per 100,000 population)",501.9864
Benin,2005,Life expectancy at birth for both sexes (years),56.183
Benin,2005,Life expectancy at birth for males (years),54.6
Benin,2005,Life expectancy at birth for females (years),57.69
Benin,2010,Population annual rate of increase (percent),2.838
Benin,2010,Total fertility rate (children per women),5.4949
Benin,2010,"Infant mortality for both sexes (per 1,000 live births)",74.505
Benin,2010,"Maternal mortality ratio (deaths per 100,000 population)",446.3111
Benin,2010,Life expectancy at birth for both sexes (years),58.56
Benin,2010,Life expectancy at birth for males (years),57.1
Benin,2010,Life expectancy at birth for females (years),59.96
Benin,2015,Population annual rate of increase (percent),2.789
Benin,2015,Total fertility rate (children per women),5.2202
Benin,2015,"Infant mortality for both sexes (per 1,000 live births)",67.66
Benin,2015,"Maternal mortality ratio (deaths per 100,000 population)",404.9432
Benin,2015,Life expectancy at birth for both sexes (years),59.931
Benin,2015,Life expectancy at birth for males (years),58.46
Benin,2015,Life expectancy at birth for females (years),61.36
Bermuda,2005,Population annual rate of increase (percent),0.337
Bermuda,2005,Total fertility rate (children per women),1.828
Bermuda,2010,Population annual rate of increase (percent),-0.363
Bermuda,2010,Total fertility rate (children per women),1.744
Bermuda,2010,Life expectancy at birth for both sexes (years),79.29
Bermuda,2010,Life expectancy at birth for males (years),76.93
Bermuda,2010,Life expectancy at birth for females (years),82.29
Bermuda,2015,Population annual rate of increase (percent),-0.619
Bermuda,2015,Total fertility rate (children per women),1.45
Bermuda,2015,Life expectancy at birth for males (years),77.3
Bermuda,2015,Life expectancy at birth for females (years),84.91
Bermuda,2016,Total fertility rate (children per women),1.496
Bermuda,2016,Life expectancy at birth for males (years),77.51
Bermuda,2016,Life expectancy at birth for females (years),85.13
Bhutan,2005,Population annual rate of increase (percent),1.864
Bhutan,2005,Total fertility rate (children per women),3.1
Bhutan,2005,"Infant mortality for both sexes (per 1,000 live births)",51.909
Bhutan,2005,"Maternal mortality ratio (deaths per 100,000 population)",308.0341
Bhutan,2005,Life expectancy at birth for both sexes (years),63.189
Bhutan,2005,Life expectancy at birth for males (years),62.89
Bhutan,2005,Life expectancy at birth for females (years),63.47
Bhutan,2010,Population annual rate of increase (percent),1.102
Bhutan,2010,Total fertility rate (children per women),2.55
Bhutan,2010,"Infant mortality for both sexes (per 1,000 live births)",39.488
Bhutan,2010,"Maternal mortality ratio (deaths per 100,000 population)",204.4612
Bhutan,2010,Life expectancy at birth for both sexes (years),67.047
Bhutan,2010,Life expectancy at birth for males (years),66.79
Bhutan,2010,Life expectancy at birth for females (years),67.29
Bhutan,2015,Population annual rate of increase (percent),1.2
Bhutan,2015,Total fertility rate (children per women),2.12
Bhutan,2015,"Infant mortality for both sexes (per 1,000 live births)",30.465
Bhutan,2015,"Maternal mortality ratio (deaths per 100,000 population)",147.8948
Bhutan,2015,Life expectancy at birth for both sexes (years),69.409
Bhutan,2015,Life expectancy at birth for males (years),69.19
Bhutan,2015,Life expectancy at birth for females (years),69.61
Bolivia (Plurin. State of),2005,Population annual rate of increase (percent),1.846
Bolivia (Plurin. State of),2005,Total fertility rate (children per women),3.85
Bolivia (Plurin. State of),2005,"Infant mortality for both sexes (per 1,000 live births)",51.971
Bolivia (Plurin. State of),2005,"Maternal mortality ratio (deaths per 100,000 population)",305.0377
Bolivia (Plurin. State of),2005,Life expectancy at birth for both sexes (years),63.937
Bolivia (Plurin. State of),2005,Life expectancy at birth for males (years),61.95
Bolivia (Plurin. State of),2005,Life expectancy at birth for females (years),66.02
Bolivia (Plurin. State of),2010,Population annual rate of increase (percent),1.694
Bolivia (Plurin. State of),2010,Total fertility rate (children per women),3.4
Bolivia (Plurin. State of),2010,"Infant mortality for both sexes (per 1,000 live births)",42.121
Bolivia (Plurin. State of),2010,"Maternal mortality ratio (deaths per 100,000 population)",253.4532
Bolivia (Plurin. State of),2010,Life expectancy at birth for both sexes (years),66.617
Bolivia (Plurin. State of),2010,Life expectancy at birth for males (years),64.36
Bolivia (Plurin. State of),2010,Life expectancy at birth for females (years),68.99
Bolivia (Plurin. State of),2015,Population annual rate of increase (percent),1.571
Bolivia (Plurin. State of),2015,Total fertility rate (children per women),3.05
Bolivia (Plurin. State of),2015,"Infant mortality for both sexes (per 1,000 live births)",32.399
Bolivia (Plurin. State of),2015,"Maternal mortality ratio (deaths per 100,000 population)",206.2129
Bolivia (Plurin. State of),2015,Life expectancy at birth for both sexes (years),69.259
Bolivia (Plurin. State of),2015,Life expectancy at birth for males (years),66.74
Bolivia (Plurin. State of),2015,Life expectancy at birth for females (years),71.91
"Bonaire, St. Eustatius & Saba",2005,Population annual rate of increase (percent),0.017
"Bonaire, St. Eustatius & Saba",2010,Population annual rate of increase (percent),7.488
"Bonaire, St. Eustatius & Saba",2015,Population annual rate of increase (percent),3.199
Bosnia and Herzegovina,2005,Population annual rate of increase (percent),0.075
Bosnia and Herzegovina,2005,Total fertility rate (children per women),1.318
Bosnia and Herzegovina,2005,"Infant mortality for both sexes (per 1,000 live births)",9.832
Bosnia and Herzegovina,2005,"Maternal mortality ratio (deaths per 100,000 population)",14.2086
Bosnia and Herzegovina,2005,Life expectancy at birth for both sexes (years),74.814
Bosnia and Herzegovina,2005,Life expectancy at birth for males (years),72.03
Bosnia and Herzegovina,2005,Life expectancy at birth for females (years),77.44
Bosnia and Herzegovina,2010,Population annual rate of increase (percent),-0.321
Bosnia and Herzegovina,2010,Total fertility rate (children per women),1.312
Bosnia and Herzegovina,2010,"Infant mortality for both sexes (per 1,000 live births)",9.025
Bosnia and Herzegovina,2010,"Maternal mortality ratio (deaths per 100,000 population)",12.8131
Bosnia and Herzegovina,2010,Life expectancy at birth for both sexes (years),75.531
Bosnia and Herzegovina,2010,Life expectancy at birth for males (years),72.87
Bosnia and Herzegovina,2010,Life expectancy at birth for females (years),78.07
Bosnia and Herzegovina,2015,Population annual rate of increase (percent),-1.549
Bosnia and Herzegovina,2015,Total fertility rate (children per women),1.314
Bosnia and Herzegovina,2015,"Infant mortality for both sexes (per 1,000 live births)",6.911
Bosnia and Herzegovina,2015,"Maternal mortality ratio (deaths per 100,000 population)",11.2508
Bosnia and Herzegovina,2015,Life expectancy at birth for both sexes (years),76.519
Bosnia and Herzegovina,2015,Life expectancy at birth for males (years),74.05
Bosnia and Herzegovina,2015,Life expectancy at birth for females (years),78.91
Botswana,2005,Population annual rate of increase (percent),1.811
Botswana,2005,Total fertility rate (children per women),3.1919
Botswana,2005,"Infant mortality for both sexes (per 1,000 live births)",57.037
Botswana,2005,"Maternal mortality ratio (deaths per 100,000 population)",276.2822
Botswana,2005,Life expectancy at birth for both sexes (years),50.077
Botswana,2005,Life expectancy at birth for males (years),47.86
Botswana,2005,Life expectancy at birth for females (years),52.52
Botswana,2010,Population annual rate of increase (percent),1.988
Botswana,2010,Total fertility rate (children per women),3.0348
Botswana,2010,"Infant mortality for both sexes (per 1,000 live births)",44.154
Botswana,2010,"Maternal mortality ratio (deaths per 100,000 population)",169.459
Botswana,2010,Life expectancy at birth for both sexes (years),55.874
